Wall time,Step,Value
1512932094.4106858,21722,12.0
1512932118.6455066,21765,-1.0
1512932121.790306,21797,2.0
1512932148.0014684,21857,12.0
1512932150.9127955,21885,-21.0
1512932173.2432828,21908,-100.0
1512932228.007603,22054,11.0
1512932230.3916342,22078,-2.0
1512932304.5616992,22225,-1.0
1512932359.4345832,22372,-2.0
1512932382.2367876,22402,-2.0
1512932383.6459658,22416,32.0
1512932384.61444,22426,1.0
1512932385.3434107,22433,2.0
1512932414.823194,22527,2.0
1512932436.3249981,22544,1.0
1512932437.2344136,22553,-8.0
1512932437.9183218,22560,21.0
1512932438.4783146,22565,-21.0
1512932492.3027048,22700,1.0
1512932515.796097,22736,-2.0
1512932519.3938308,22772,-2.0
1512932596.3527515,22945,2.0
1512932649.1843364,23065,100.0
1512932726.5779817,23242,38.0
1512932730.042914,23276,-2.0
1512932753.1127198,23309,-1.0
1512932780.345491,23379,-82.0
1512932805.38757,23429,-1.0
1512932857.8839784,23556,-2.0
1512932889.6647887,23672,-29.0
1512933027.6751716,23970,43.0
1512933029.1720285,23985,-12.0
1512933052.1687574,24013,2.0
1512933053.2090344,24023,42.0
1512933056.5246606,24055,-1.0
1512933078.4821432,24074,28.0
1512933080.023166,24089,2.0
1512933107.5211294,24160,27.0
1512933107.628389,24161,-6.0
1512933110.1744733,24186,-2.0
1512933131.181745,24194,-6.0
1512933158.5293171,24265,1.0
1512933187.748996,24357,-1.0
1512933190.3576746,24383,2.0
1512933266.1119487,24535,100.0
1512933269.9390826,24573,-12.0
1512933291.3953025,24586,-2.0
1512933294.2703247,24615,2.0
1512933346.0294526,24711,-1.0
1512933347.4155905,24726,68.0
1512933348.8757212,24741,-45.0
1512933376.384807,24815,17.0
1512933398.2640429,24836,32.0
1512933404.133346,24891,78.0
1512933425.400319,24904,-92.0
1512933427.454099,24925,-1.0
1512933451.4468162,24965,2.0
1512933481.5396934,25074,-2.0
1512933557.7686775,25238,-2.0
1512933635.9703496,25430,-97.0
1512933664.8939953,25521,47.0
1512933714.9062214,25623,2.0
1512933715.1692724,25626,-2.0
1512933765.7452106,25733,10.0
1512933766.8145566,25744,21.0
1512933797.2777205,25849,2.0
1512933846.2097094,25941,-8.0
1512933848.2842546,25962,1.0
1512933897.6260045,26056,-2.0
1512933898.3075202,26062,-2.0
1512933924.4569995,26125,-4.0
1512933949.9518688,26181,58.0
1512933951.0064964,26191,-1.0
1512934007.27032,26351,43.0
1512934057.5328338,26456,-2.0
1512934058.192547,26462,100.0
1512934061.5388482,26493,2.0
1512934225.6770144,26870,1.0
1512934250.9220002,26921,2.0
1512934276.8337426,26970,30.0
1512934279.2852933,26993,-6.0
1512934279.37816,26994,-2.0
1512934304.0139139,27038,-77.0
1512934306.5779681,27061,-82.0
1512934356.7208245,27164,28.0
1512934492.063633,27517,-1.0
1512934543.8746748,27640,1.0
1512934569.31438,27696,-10.0
1512934591.558181,27721,-1.0
1512934645.299699,27860,-1.0
1512934670.0906243,27909,73.0
1512934754.491301,28123,58.0
1512934804.5415494,28228,1.0
1512934835.4747937,28343,2.0
1512934882.3970456,28420,47.0
1512934937.5332146,28574,-7.0
1512935041.7475994,28822,6.0
1512935095.535164,28961,71.0
1512935120.1309605,29010,-100.0
1512935202.539753,29235,100.0
1512935277.9298854,29391,100.0
1512935305.9327087,29472,32.0
1512935332.9082003,29544,1.0
1512935355.3127704,29570,4.0
1512935435.9610713,29793,2.0
1512935437.0901573,29806,0.0
1512935460.6339529,29845,2.0
1512935512.143111,29954,-83.0
1512935525.4255838,29996,26.0
1512935526.814672,30006,12.0
1512935613.5796747,30153,11.0
1512935613.9114199,30156,-2.0
1512935615.807322,30172,-28.0
1512935644.6800985,30240,-32.0
1512935670.0183535,30276,-2.0
1512935674.0275927,30312,-2.0
1512935727.9240377,30411,100.0
1512935732.6110945,30449,-21.0
1512935733.7569942,30458,0.0
1512935814.969411,30603,2.0
1512935816.9659219,30622,-2.0
1512935871.7962618,30759,2.0
1512935922.31679,30860,69.0
1512935949.1620355,30926,1.0
1512935979.1925006,31027,-6.0
1512936006.6292694,31102,-2.0
1512936031.8337064,31152,93.0
1512936057.3814683,31204,-58.0
1512936059.283071,31223,2.0
1512936059.3853314,31224,4.0
1512936107.7135992,31308,98.0
1512936109.7599726,31328,-2.0
1512936214.6589942,31588,-2.0
1512936242.2868638,31670,1.0
1512936298.5945766,31800,1.0
1512936320.9260342,31821,0.0
1512936321.2459795,31824,-10.0
1512936348.4888377,31888,1.0
1512936376.168813,31955,-62.0
1512936376.8907785,31963,2.0
1512936377.7706292,31974,1.0
1512936407.5702498,32061,63.0
1512936517.5186045,32280,-26.0
1512936522.618503,32319,130.0
1512936548.778003,32361,2.0
1512936602.1833036,32460,70.0
1512936634.5220528,32574,62.0
1512936712.7353327,32705,2.0
1512936740.6607437,32774,-48.0
1512936798.7791786,32931,-1.0
1512936835.7730885,32991,2.0
1512936862.1998994,33044,77.0
1512936889.2701094,33101,72.0
1512936892.2281647,33127,0.0
1512936918.5645545,33167,100.0
1512936922.6070704,33203,-21.0
1512936948.6687236,33241,2.0
